comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;latencies(ms);bandwidths(Mbs);input_size;preprocess;splitroles;packetdrops(%);verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
0.02;3;1;0;4;512;46;1;0;5;10000;10000;1;25000;1;0;1;0;1;.000431;NA;.000259;.002771;.002856;.003333;3;249
0.02;3;1;0;4;512;46;1;0;5;10000;10000;1;25000;1;0;1;0;1;.000422;NA;.000081;.002758;.003053;.003333;3;125
0.02;3;1;0;4;512;46;1;0;5;10000;10000;1;25000;1;0;1;0;1;.000426;NA;.000252;.002888;.003030;.003333;3;229
0.02;3;1;0;4;512;46;1;0;5;10000;10000;1;25000;1;0;1;0;1;.000407;NA;.000099;.002619;.002682;.003333;3;159
0.02;3;1;0;4;512;46;1;0;5;10000;10000;1;25000;1;0;1;0;1;.000439;NA;.000294;.002895;.003028;.003333;5;285
0.02;3;1;0;4;512;46;1;0;5;10000;10000;1;25000;1;0;1;0;1;.000427;NA;.000312;.002827;.002962;.003750;3;278
0.02;3;1;0;4;512;46;1;0;5;10000;10000;1;25000;1;0;1;0;1;.000439;NA;.000085;.002923;.003031;.003750;3;135
0.02;3;1;0;4;512;46;1;0;5;10000;10000;1;25000;1;0;1;0;1;.000425;NA;.000210;.002816;.002912;.003333;3;213
0.02;3;1;0;4;512;46;1;0;5;10000;10000;1;25000;1;0;1;0;1;.000410;NA;.000291;.002872;.002966;.003333;3;265
0.02;3;1;0;4;512;46;1;0;5;10000;10000;1;25000;1;0;1;0;1;.000325;NA;.000310;.002756;.002837;.003333;3;298
0.02;3;1;0;4;512;46;1;0;5;10000;10000;1;25000;1;0;1;1;1;.041912;NA;.000307;.015082;.045238;.071250;3;14
0.02;3;1;0;4;512;46;1;0;5;10000;10000;1;25000;1;0;1;1;1;.084551;NA;.000347;.016454;.054034;.104583;3;10
0.02;3;1;0;4;512;46;1;0;5;10000;10000;1;25000;1;0;1;1;1;.042876;NA;.000315;.012871;.053826;.080833;3;12
0.02;3;1;0;4;512;46;1;0;5;10000;10000;1;25000;1;0;1;1;1;.042870;NA;.000360;.018997;.062338;.063333;3;19
0.02;3;1;0;4;512;46;1;0;5;10000;10000;1;25000;1;0;1;1;1;.043155;NA;.000372;.014751;.046667;.062083;3;19
0.02;3;1;0;4;512;46;1;0;5;10000;10000;1;25000;1;0;1;1;1;.043299;NA;.000274;.012368;.028998;.055000;3;17
0.02;3;1;0;4;512;46;1;0;5;10000;10000;1;25000;1;0;1;1;1;.084712;NA;.000338;.015437;.080431;.122916;3;9
0.02;3;1;0;4;512;46;1;0;5;10000;10000;1;25000;1;0;1;1;1;.043063;NA;.000331;.019328;.054130;.063333;3;17
0.02;3;1;0;4;512;46;1;0;5;10000;10000;1;25000;1;0;1;1;1;.043013;NA;.000271;.020132;.054093;.071250;3;12
0.02;3;1;0;4;512;46;1;0;5;10000;10000;1;25000;1;0;1;1;1;.042417;NA;.000277;.016098;.080777;.081250;3;11
0.02;3;1;0;4;512;46;1;0;5;10000;10000;1;25000;1;0;1;2;1;.042708;NA;.000296;.039070;.265079;.307916;3;3
0.02;3;1;0;4;512;46;1;0;5;10000;10000;1;25000;1;0;1;2;1;.042527;NA;.000355;.030510;.087683;.088333;3;12
0.02;3;1;0;4;512;46;1;0;5;10000;10000;1;25000;1;0;1;2;1;.042682;NA;.000358;.028456;.097040;.097500;3;11
0.02;3;1;0;4;512;46;1;0;5;10000;10000;1;25000;1;0;1;2;1;.043119;NA;.000370;.029367;.154896;.155416;3;7
0.02;3;1;0;4;512;46;1;0;5;10000;10000;1;25000;1;0;1;2;1;.085927;NA;.000244;.034768;.080339;.164583;3;5
0.02;3;1;0;4;512;46;1;0;5;10000;10000;1;25000;1;0;1;2;1;.042635;NA;.000317;.036145;.072001;.072500;3;14
0.02;3;1;0;4;512;46;1;0;5;10000;10000;1;25000;1;0;1;2;1;.042763;NA;.000311;.034394;.137703;.138750;3;7
0.02;3;1;0;4;512;46;1;0;5;10000;10000;1;25000;1;0;1;2;1;.042733;NA;.000300;.030210;.107068;.107500;3;9
0.02;3;1;0;4;512;46;1;0;5;10000;10000;1;25000;1;0;1;2;1;.042779;NA;.000324;.025440;.132024;.175000;3;5
0.02;3;1;0;4;512;46;1;0;5;10000;10000;1;25000;1;0;1;2;1;.126954;NA;.000344;.031609;.103444;.130000;3;8
0.02;3;1;0;4;512;46;1;0;5;10000;10000;1;25000;1;0;1;5;1;.126971;NA;.000367;.087513;.340320;.382916;5;3
0.02;3;1;0;4;512;46;1;0;5;10000;10000;1;25000;1;0;1;5;1;.126751;NA;.000346;.062017;.163002;.205000;3;5
0.02;3;1;0;4;512;46;1;0;5;10000;10000;1;25000;1;0;1;5;1;.127198;NA;.000316;.064700;.331392;.458750;3;2
0.02;3;1;0;4;512;46;1;0;5;10000;10000;1;25000;1;0;1;5;1;.084374;NA;.000343;.077789;.295188;.338333;3;3
0.02;3;1;0;4;512;46;1;0;5;10000;10000;1;25000;1;0;1;5;1;.127092;NA;.000332;.085781;.450507;.466666;3;2
0.02;3;1;0;4;512;46;1;0;5;10000;10000;1;25000;1;0;1;5;1;.126767;NA;.000272;.061794;.162512;.205000;3;4
0.02;3;1;0;4;512;46;1;0;5;10000;10000;1;25000;1;0;1;5;1;.126297;NA;.000344;.153322;.977464;1.020833;3;1
0.02;3;1;0;4;512;46;1;0;5;10000;10000;1;25000;1;0;1;5;1;.083568;NA;.000330;.065826;.204686;.248333;3;4
0.02;3;1;0;4;512;46;1;0;5;10000;10000;1;25000;1;0;1;5;1;.043235;NA;.000325;.065554;.163065;.163750;3;6
0.02;3;1;0;4;512;46;1;0;5;10000;10000;1;25000;1;0;1;5;1;.126744;NA;.000370;.074530;.332068;.375416;3;3
