comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;latencies(ms);bandwidths(Mbs);input_size;preprocess;splitroles;packetdrops(%);verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
2.50;279;1;0;1;32;59;1;0;5;10000;10000;0;25000;300;0;0;0;16;.012674;NA;.039593;5.539779;5.539767;5.550000;4;0
2.34;279;1;0;1;32;59;1;0;5;10000;10000;0;25000;300;0;0;0;16;.012717;NA;.036749;4.857807;4.857796;4.870000;4;0
2.60;280;1;0;1;32;59;1;0;5;10000;10000;0;25000;300;0;0;0;16;.018984;NA;.029895;5.087708;5.087704;5.110000;4;0
2.57;278;1;0;1;32;59;1;0;5;10000;10000;0;25000;300;0;0;0;16;.013371;NA;.030915;5.232645;5.232637;5.250000;4;0
2.51;279;1;0;1;32;59;1;0;5;10000;10000;0;25000;300;0;0;0;16;.007126;NA;.036459;5.728726;5.728714;5.730000;4;0
2.34;280;1;0;1;32;59;1;0;5;10000;10000;0;25000;300;0;0;0;16;.006122;NA;.035529;5.230385;5.230374;5.240000;4;0
2.36;280;1;0;1;32;59;1;0;5;10000;10000;0;25000;300;0;0;0;16;.008335;NA;.036830;5.394212;5.394207;5.400000;4;0
2.53;280;1;0;1;32;59;1;0;5;10000;10000;0;25000;300;0;0;0;16;.007275;NA;.036694;5.657907;5.657897;5.670000;4;0
2.37;280;1;0;1;32;59;1;0;5;10000;10000;0;25000;300;0;0;0;16;.012686;NA;.031900;5.567790;5.567787;5.580000;4;0
2.42;280;1;0;1;32;59;1;0;5;10000;10000;25;25000;300;0;0;0;16;.082890;NA;.043977;181.837023;181.837001;181.920000;5;0
2.47;280;1;0;1;32;59;1;0;5;10000;10000;25;25000;300;0;0;0;16;.076647;NA;.051294;181.928010;181.927999;182.000000;5;0
2.35;280;1;0;1;32;59;1;0;5;10000;10000;25;25000;300;0;0;0;16;.090852;NA;.046882;181.931648;181.931639;182.020000;5;0
2.51;280;1;0;1;32;59;1;0;5;10000;10000;25;25000;300;0;0;0;16;.082381;NA;.037582;181.924956;181.924944;182.010000;5;0
2.32;280;1;0;1;32;59;1;0;5;10000;10000;25;25000;300;0;0;0;16;.076412;NA;.041816;181.815538;181.815527;181.890000;5;0
2.35;280;1;0;1;32;59;1;0;5;10000;10000;25;25000;300;0;0;0;16;.078976;NA;.045088;181.930644;181.930633;182.010000;4;0
2.36;279;1;0;1;32;59;1;0;5;10000;10000;25;25000;300;0;0;0;16;.081628;NA;.046524;181.876198;181.876183;181.960000;5;0
