comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;input_size;preprocess;splitroles;verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
2.08;264;1;0;1;32;55;1;0;13;10000;10000;10000;0;0;16;;NA;.000004;.000001;0;0;3;100
2.08;264;1;0;1;32;55;1;0;13;10000;10000;10000;0;0;16;;NA;.000005;.000001;0;0;3;66
2.37;263;1;0;1;32;55;1;0;13;10000;10000;10000;0;0;16;;NA;.000006;.000001;0;0;3;100
2.33;263;1;0;1;32;55;1;0;13;10000;10000;10000;0;0;16;;NA;.000006;.000001;0;0;3;100
2.38;263;1;0;1;32;55;1;0;13;10000;10000;10000;0;0;16;;NA;.000013;.000003;0;0;3;60
2.23;263;1;0;1;32;55;1;0;13;10000;10000;10000;0;0;16;;NA;.000007;.000002;0;0;3;50
2.22;263;1;0;1;32;55;1;0;13;10000;10000;10000;0;0;16;;NA;.000007;.000001;0;0;3;100
2.19;264;1;0;1;32;55;1;0;13;10000;10000;10000;0;0;16;;NA;.000012;.000003;0;0;3;75
2.07;264;1;0;1;32;55;1;0;13;10000;10000;10000;0;0;16;;NA;.000006;.000001;0;0;3;100
2.15;264;1;0;1;32;55;1;0;13;10000;10000;10000;0;0;16;;NA;.000006;.000001;0;0;3;100
