comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;input_size;preprocess;splitroles;verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
0.02;3;1;0;4;512;58;1;0;5;10000;10000;10000;0;1;1;.014942;NA;.914226;.807326;.828166;.843750;2402;2633
0.02;3;1;0;4;512;58;1;0;5;10000;10000;10000;1;1;1;.203595;.834896;.753280;.669284;.753783;1.516250;4480;1614
