program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);System time (s);Preprocessing Time(s)
53;RING;semihonest;replicated-ring;3;0.30;30;1;0;25000;10000;0;0.176856;0.33;98;438%;~240;15.8715;47.6146;0.21;NA
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;10000;0;0.178017;0.31;99;469%;~240;15.8715;47.6146;0.25;NA
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;10000;0;0.174879;0.31;101;475%;~240;15.8715;47.6146;0.21;NA
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;10000;0;0.171779;0.30;102;464%;~240;15.8715;47.6146;0.17;NA
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;10000;0;0.158774;0.29;100;427%;~240;15.8715;47.6146;0.17;NA
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;10000;0;0.158183;0.31;99;465%;~240;15.8715;47.6146;0.26;NA
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;10000;0;0.166358;0.30;98;456%;~240;15.8715;47.6146;0.19;NA
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;10000;0;0.174778;0.32;104;434%;~240;15.8715;47.6146;0.19;NA
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;10000;0;0.161061;0.29;96;466%;~240;15.8715;47.6146;0.18;NA
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;10000;0;0.173084;0.31;98;479%;~240;15.8715;47.6146;0.20;NA
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;10000;1;0.237796;1.35;98;143%;~240;15.8715;47.6146;0.31;NA
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;10000;1;0.219207;1.35;98;131%;~240;15.8715;47.6146;0.29;NA
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;10000;1;0.451109;1.18;97;169%;~240;15.8715;47.6146;0.28;NA
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;10000;1;0.427241;1.56;96;130%;~240;15.8715;47.6146;0.30;NA
