comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;bandwidths(Mbs);input_size;preprocess;splitroles;verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
2.54;299;1;0;1;32;49;1;0;5;32;32;25000;1000;0;0;16;.011071;NA;.028204;.164284;.164272;.170000;5;18
2.52;299;1;0;1;32;49;1;0;5;32;32;10000;1000;0;0;16;.005984;NA;.029884;.036859;.036853;.040000;4;71
2.51;299;1;0;1;32;49;1;0;5;32;32;1000;1000;0;0;16;.004940;NA;.041616;.162517;.162501;.170000;5;26
2.52;300;1;0;1;32;49;1;0;5;32;32;100;1000;0;0;16;.011685;NA;.042938;.122048;.122034;.130000;5;34
2.54;300;1;0;1;32;50;1;0;5;32;32;25000;1000;0;0;16;.006385;NA;.056610;.202700;.202686;.210000;5;28
2.56;300;1;0;1;32;50;1;0;5;32;32;10000;1000;0;0;16;.006720;NA;.055894;.153869;.153855;.160000;5;36
2.57;300;1;0;1;32;50;1;0;5;32;32;1000;1000;0;0;16;.006323;NA;.037941;.074653;.074641;.080000;5;50
2.58;300;1;0;1;32;50;1;0;5;32;32;100;1000;0;0;16;.005581;NA;.052557;.094362;.094356;.100000;5;55
2.93;323;1;0;1;32;51;1;0;5;32;32;25000;1000;0;0;16;.007419;NA;.080047;.123061;.123043;.130000;5;64
3.00;321;1;0;1;32;51;1;0;5;32;32;10000;1000;0;0;16;.012997;NA;.077623;.169171;.169155;.180000;5;44
2.99;322;1;0;1;32;51;1;0;5;32;32;1000;1000;0;0;16;.007448;NA;.084110;.090628;.090614;.100000;5;89
2.98;321;1;0;1;32;51;1;0;5;32;32;100;1000;0;0;16;.007661;NA;.085042;.114008;.114002;.120000;5;72
