program  c.domain  adv.model      protocol  partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  latencies(ms)  bandwidths(Mbs)  input_size  packetdrops(%)  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)  Preprocessing Time(s)
52       RING      semidishonest  semi2k    3          0.74          37                 1                  0              25000            1000        0               10.7116              11.02                580           1378%      ~46140        10837           32399.4          50.09            NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              25000            1000        0               10.636               10.97                578           1406%      ~46140        10837           32399.4          51.82            NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              25000            1000        0               10.2422              10.59                575           1415%      ~46140        10837           32399.4          49.53            NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              25000            1000        0               9.93571              10.27                577           1422%      ~46140        10837           32399.4          47.30            NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              25000            1000        0               10.5378              10.88                568           1399%      ~46140        10837           32399.4          49.71            NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              25000            1000        0               10.2028              10.55                574           1408%      ~46140        10837           32399.4          49.10            NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              25000            1000        0               10.5417              10.87                577           1391%      ~46140        10837           32399.4          50.32            NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              25000            1000        0               10.1474              10.48                586           1405%      ~46140        10837           32399.4          48.16            NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 0              25000            1000        0               9.71019              10.04                577           1413%      ~46140        10837           32399.4          47.03            NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 25             25000            1000        0               62.9042              64.65                562           351%       ~46140        10837           32399.4          65.75            NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 25             25000            1000        0               62.8166              64.58                562           350%       ~46140        10837           32399.4          65.29            NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 25             25000            1000        0               62.9731              64.73                559           350%       ~46140        10837           32399.4          64.78            NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 25             25000            1000        0               62.902               64.66                559           351%       ~46140        10837           32399.4          65.86            NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 25             25000            1000        0               62.867               64.63                554           350%       ~46140        10837           32399.4          65.17            NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 25             25000            1000        0               62.9094              64.70                570           349%       ~46140        10837           32399.4          63.86            NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 25             25000            1000        0               62.935               64.68                569           350%       ~46140        10837           32399.4          65.35            NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 25             25000            1000        0               62.9031              64.67                557           349%       ~46140        10837           32399.4          63.64            NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 25             25000            1000        0               62.8305              64.60                549           350%       ~46140        10837           32399.4          64.47            NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 25             25000            1000        0               62.9624              64.71                559           347%       ~46140        10837           32399.4          62.84            NA
52       RING      semidishonest  semi2k    3          NA            NA                 NA                 50             25000            1000        0               116.049              119.31               552           192%       ~46140        10837           32399.4          64.80            NA
