comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;input_size;preprocess;splitroles;verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
2.38;282;1;0;1;32;62;1;0;13;10000;10000;500;0;0;16;;NA;.000138;.000132;.000131;0;3;100
2.32;281;1;0;1;32;62;1;0;13;10000;10000;500;0;0;16;;NA;.000137;.000132;.000130;0;3;75
2.59;280;1;0;1;32;62;1;0;13;10000;10000;500;0;0;16;;NA;.000141;.000135;.000133;0;3;50
2.50;281;1;0;1;32;62;1;0;13;10000;10000;500;0;0;16;;NA;.000140;.000135;.000133;0;3;75
2.38;281;1;0;1;32;62;1;0;13;10000;10000;500;0;0;16;;NA;.000381;.000371;.000368;0;3;100
2.37;282;1;0;1;32;62;1;0;13;10000;10000;500;0;0;16;;NA;.000135;.000130;.000129;0;3;66
2.55;281;1;0;1;32;62;1;0;13;10000;10000;500;0;0;16;;NA;.000379;.000370;.000367;0;3;100
2.62;281;1;0;1;32;62;1;0;13;10000;10000;500;0;0;16;;NA;.000138;.000133;.000131;0;3;50
2.50;281;1;0;1;32;62;1;0;13;10000;10000;500;0;0;16;;NA;.000387;.000377;.000373;0;3;100
2.37;282;1;0;1;32;62;1;0;13;10000;10000;500;0;0;16;;NA;.000134;.000130;.000129;0;3;100
2.29;281;1;0;1;32;63;1;0;13;10000;10000;500;0;0;16;;NA;.000380;.000371;.000368;0;3;100
2.39;283;1;0;1;32;63;1;0;13;10000;10000;500;0;0;16;;NA;.000137;.000132;.000130;0;3;50
2.39;282;1;0;1;32;63;1;0;13;10000;10000;500;0;0;16;;NA;.000386;.000374;.000371;0;3;100
2.70;281;1;0;1;32;63;1;0;13;10000;10000;500;0;0;16;;NA;.000383;.000373;.000369;0;3;100
2.67;282;1;0;1;32;63;1;0;13;10000;10000;500;0;0;16;;NA;.000139;.000135;.000133;0;3;100
2.55;282;1;0;1;32;63;1;0;13;10000;10000;500;0;0;16;;NA;.000382;.000372;.000368;0;3;100
2.60;282;1;0;1;32;63;1;0;13;10000;10000;500;0;0;16;;NA;.000135;.000131;.000129;0;3;100
2.38;284;1;0;1;32;63;1;0;13;10000;10000;500;0;0;16;;NA;.000382;.000372;.000368;0;3;80
2.52;282;1;0;1;32;63;1;0;13;10000;10000;500;0;0;16;;NA;.000136;.000131;.000130;0;3;100
2.71;283;1;0;1;32;63;1;0;13;10000;10000;500;0;0;16;;NA;.000380;.000369;.000366;0;3;75
2.85;300;1;0;1;32;64;1;0;13;10000;10000;500;0;0;16;;NA;.000135;.000131;.000130;0;3;100
3.02;300;1;0;1;32;64;1;0;13;10000;10000;500;0;0;16;;NA;.000380;.000370;.000367;0;3;80
2.96;302;1;0;1;32;64;1;0;13;10000;10000;500;0;0;16;;NA;.000141;.000137;.000135;0;3;80
2.86;301;1;0;1;32;64;1;0;13;10000;10000;500;0;0;16;;NA;.000133;.000130;.000128;0;3;100
2.62;301;1;0;1;32;64;1;0;13;10000;10000;500;0;0;16;;NA;.000138;.000134;.000132;0;3;100
2.93;302;1;0;1;32;64;1;0;13;10000;10000;500;0;0;16;;NA;.000386;.000376;.000372;0;3;80
2.72;301;1;0;1;32;64;1;0;13;10000;10000;500;0;0;16;;NA;.000379;.000370;.000367;0;3;75
2.92;301;1;0;1;32;64;1;0;13;10000;10000;500;0;0;16;;NA;.000131;.000126;.000125;0;3;100
2.76;302;1;0;1;32;64;1;0;13;10000;10000;500;0;0;16;;NA;.000135;.000131;.000130;0;3;100
2.93;302;1;0;1;32;64;1;0;13;10000;10000;500;0;0;16;;NA;.000157;.000149;.000146;0;3;100
