comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  latencies(ms)  bandwidths(Mbs)  input_size  preprocess  splitroles  packetdrops(%)  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
4.22          334                1                  0    1        256       58        1         0         5         10000     10000     0              25000            1           0           0           0               1             .006393      NA          .011397           .538211             .538206            .540000              4             2
4.39          335                1                  0    1        256       58        1         0         5         10000     10000     0              25000            1           0           0           0               1             .006218      NA          .012316           .280070             .280058            .290000              4             5
4.47          334                1                  0    1        256       58        1         0         5         10000     10000     0              25000            1           0           0           0               1             .006696      NA          .012008           .377109             .377098            .380000              4             4
4.38          333                1                  0    1        256       58        1         0         5         10000     10000     0              25000            1           0           0           0               1             .011715      NA          .012395           .046834             .046823            .060000              4             26
4.22          335                1                  0    1        256       58        1         0         5         10000     10000     0              25000            1           0           0           0               1             .006663      NA          .012304           .457999             .457994            .460000              4             3
4.39          334                1                  0    1        256       58        1         0         5         10000     10000     0              25000            1           0           0           0               1             .006358      NA          .012855           .057428             .057417            .060000              4             24
4.37          333                1                  0    1        256       58        1         0         5         10000     10000     0              25000            1           0           0           0               1             .006008      NA          .012700           .482808             .482796            .490000              4             3
4.26          333                1                  0    1        256       58        1         0         5         10000     10000     0              25000            1           0           0           0               1             .017067      NA          .009903           .422771             .422768            .440000              4             2
4.25          334                1                  0    1        256       58        1         0         5         10000     10000     0              25000            1           0           0           0               1             .017130      NA          .012699           .259848             .259834            .280000              4             6
4.09          334                1                  0    1        256       58        1         0         5         10000     10000     0              25000            1           0           0           0               1             .006707      NA          .012202           .316367             .316357            .320000              4             5
4.25          334                1                  0    1        256       58        1         0         5         10000     10000     25             25000            1           0           0           0               1             .076030      NA          .015149           64.565550           64.565538          64.640000            4             0
4.21          334                1                  0    1        256       58        1         0         5         10000     10000     25             25000            1           0           0           0               1             .077318      NA          .014548           64.560974           64.560969          64.640000            4             0
4.37          335                1                  0    1        256       58        1         0         5         10000     10000     25             25000            1           0           0           0               1             .073938      NA          .026627           64.560776           64.560765          64.630000            4             0
4.22          334                1                  0    1        256       58        1         0         5         10000     10000     25             25000            1           0           0           0               1             .075460      NA          .021716           64.511833           64.511822          64.590000            4             0
4.25          336                1                  0    1        256       58        1         0         5         10000     10000     25             25000            1           0           0           0               1             .073359      NA          .024983           64.563238           64.563233          64.640000            4             0
4.26          333                1                  0    1        256       58        1         0         5         10000     10000     25             25000            1           0           0           0               1             .077073      NA          .020588           64.522441           64.522430          64.600000            4             0
4.32          334                1                  0    1        256       58        1         0         5         10000     10000     25             25000            1           0           0           0               1             .076291      NA          .022034           64.563470           64.563458          64.640000            4             0
4.40          333                1                  0    1        256       58        1         0         5         10000     10000     25             25000            1           0           0           0               1             .077499      NA          .012885           64.565674           64.565666          64.640000            4             0
4.23          334                1                  0    1        256       58        1         0         5         10000     10000     25             25000            1           0           0           0               1             .078768      NA          .020473           64.559728           64.559717          64.640000            4             0
4.35          333                1                  0    1        256       58        1         0         5         10000     10000     25             25000            1           0           0           0               1             .075492      NA          .020096           64.559797           64.559785          64.640000            4             0
4.39          334                1                  0    1        256       58        1         0         5         10000     10000     50             25000            1           0           0           0               1             .151737      NA          .015134           128.563360          128.563357         128.710000           4             0
4.23          335                1                  0    1        256       58        1         0         5         10000     10000     50             25000            1           0           0           0               1             .155059      NA          .023459           128.556960          128.556948         128.710000           4             0
4.45          333                1                  0    1        256       58        1         0         5         10000     10000     50             25000            1           0           0           0               1             .151695      NA          .017677           128.561098          128.561089         128.710000           4             0
4.23          333                1                  0    1        256       58        1         0         5         10000     10000     50             25000            1           0           0           0               1             .151670      NA          .015760           128.562353          128.562340         128.710000           4             0
4.36          333                1                  0    1        256       58        1         0         5         10000     10000     50             25000            1           0           0           0               1             .150305      NA          .021789           128.563724          128.563711         128.710000           4             0
