comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;latencies(ms);bandwidths(Mbs);input_size;preprocess;splitroles;packetdrops(%);verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
8.11;507;1;0;4;512;82;1;0;12;10000;10000;0;25000;1;0;0;0;1;.001956;NA;.026135;.103529;.106386;.107500;16;101
8.20;507;1;0;4;512;82;1;0;12;10000;10000;0;25000;1;0;0;0;1;.001740;NA;.019564;.112886;.116473;.117500;16;70
8.19;508;1;0;4;512;82;1;0;12;10000;10000;0;25000;1;0;0;0;1;.001889;NA;.021048;.089151;.116710;.120000;16;75
8.02;507;1;0;4;512;82;1;0;12;10000;10000;0;25000;1;0;0;0;1;.001960;NA;.019869;.091216;.119765;.122500;16;70
8.28;509;1;0;4;512;82;1;0;12;10000;10000;0;25000;1;0;0;0;1;.001935;NA;.020321;.096925;.115471;.117500;16;74
8.14;509;1;0;4;512;82;1;0;12;10000;10000;0;25000;1;0;0;0;1;.001949;NA;.022046;.094514;.117376;.120000;16;78
8.29;508;1;0;4;512;82;1;0;12;10000;10000;0;25000;1;0;0;0;1;.001943;NA;.023831;.091421;.119215;.122500;16;83
8.14;507;1;0;4;512;82;1;0;12;10000;10000;0;25000;1;0;0;0;1;.001832;NA;.025673;.110639;.116710;.120000;16;91
8.34;509;1;0;4;512;82;1;0;12;10000;10000;0;25000;1;0;0;0;1;.001955;NA;.023231;.067635;.108153;.110000;16;89
8.22;508;1;0;4;512;82;1;0;12;10000;10000;0;25000;1;0;0;0;1;.001770;NA;.022391;.112171;.118610;.120000;16;78
8.21;510;1;0;4;512;82;1;0;12;10000;10000;25;25000;1;0;0;0;1;.020186;NA;.033983;1.812844;1.828214;1.847500;20;7
8.18;507;1;0;4;512;82;1;0;12;10000;10000;25;25000;1;0;0;0;1;.019621;NA;.035809;1.811440;1.817936;1.837500;16;8
8.10;508;1;0;4;512;82;1;0;12;10000;10000;25;25000;1;0;0;0;1;.019287;NA;.035303;1.807149;1.813380;1.832500;16;8
8.09;507;1;0;4;512;82;1;0;12;10000;10000;25;25000;1;0;0;0;1;.019299;NA;.035718;1.810930;1.820430;1.840000;16;8
8.06;507;1;0;4;512;82;1;0;12;10000;10000;25;25000;1;0;0;0;1;.019454;NA;.035093;1.806416;1.813369;1.832500;16;8
8.21;508;1;0;4;512;82;1;0;12;10000;10000;25;25000;1;0;0;0;1;.020617;NA;.035179;1.810059;1.811639;1.832500;16;8
8.10;507;1;0;4;512;82;1;0;12;10000;10000;25;25000;1;0;0;0;1;.019804;NA;.036412;1.815715;1.818971;1.840000;16;8
8.09;508;1;0;4;512;82;1;0;12;10000;10000;25;25000;1;0;0;0;1;.019516;NA;.034927;1.805138;1.810706;1.830000;16;7
8.09;508;1;0;4;512;82;1;0;12;10000;10000;25;25000;1;0;0;0;1;.020616;NA;.034636;1.810129;1.824140;1.845000;16;7
8.14;508;1;0;4;512;82;1;0;12;10000;10000;25;25000;1;0;0;0;1;.019834;NA;.034373;1.807710;1.818261;1.840000;16;7
8.30;509;1;0;4;512;82;1;0;12;10000;10000;50;25000;1;0;0;0;1;.039259;NA;.036804;3.585005;3.594938;3.635000;16;4
8.36;508;1;0;4;512;82;1;0;12;10000;10000;50;25000;1;0;0;0;1;.038720;NA;.035061;3.592762;3.601239;3.640000;16;4
8.16;508;1;0;4;512;82;1;0;12;10000;10000;50;25000;1;0;0;0;1;.039147;NA;.036305;3.588193;3.614163;3.655000;16;4
8.28;507;1;0;4;512;82;1;0;12;10000;10000;50;25000;1;0;0;0;1;.038224;NA;.037364;3.582407;3.590225;3.630000;16;4
8.12;507;1;0;4;512;82;1;0;12;10000;10000;50;25000;1;0;0;0;1;.037725;NA;.036639;3.594260;3.601532;3.640000;16;4
8.10;508;1;0;4;512;82;1;0;12;10000;10000;50;25000;1;0;0;0;1;.038104;NA;.035018;3.592689;3.604927;3.642500;16;4
8.31;507;1;0;4;512;82;1;0;12;10000;10000;50;25000;1;0;0;0;1;.038898;NA;.036126;3.588930;3.616368;3.655000;16;4
8.26;508;1;0;4;512;82;1;0;12;10000;10000;50;25000;1;0;0;0;1;.038871;NA;.037431;3.585897;3.614132;3.652500;16;4
8.09;508;1;0;4;512;82;1;0;12;10000;10000;50;25000;1;0;0;0;1;.037099;NA;.036839;3.600568;3.616490;3.655000;16;4
8.11;508;1;0;4;512;82;1;0;12;10000;10000;50;25000;1;0;0;0;1;.038707;NA;.035635;3.588694;3.600730;3.640000;22;4
8.12;509;1;0;4;512;82;1;0;12;10000;10000;75;25000;1;0;0;0;1;.057604;NA;.036356;5.367676;5.387684;5.445000;16;2
8.23;508;1;0;4;512;82;1;0;12;10000;10000;75;25000;1;0;0;0;1;.058114;NA;.036916;5.366356;5.385016;5.442500;16;2
8.17;508;1;0;4;512;82;1;0;12;10000;10000;75;25000;1;0;0;0;1;.057715;NA;.036945;5.379615;5.429663;5.487500;16;2
8.26;508;1;0;4;512;82;1;0;12;10000;10000;75;25000;1;0;0;0;1;.056757;NA;.036156;5.365083;5.390622;5.447500;16;2
8.40;508;1;0;4;512;82;1;0;12;10000;10000;75;25000;1;0;0;0;1;.057635;NA;.036633;5.361913;5.378358;5.435000;25;2
8.22;511;1;0;4;512;82;1;0;12;10000;10000;75;25000;1;0;0;0;1;.057377;NA;.036718;5.363650;5.387721;5.445000;16;2
8.27;509;1;0;4;512;82;1;0;12;10000;10000;75;25000;1;0;0;0;1;.056820;NA;.035911;5.364156;5.386235;5.442500;16;2
8.27;508;1;0;4;512;82;1;0;12;10000;10000;75;25000;1;0;0;0;1;.057278;NA;.037362;5.355425;5.364797;5.422500;16;2
8.21;508;1;0;4;512;82;1;0;12;10000;10000;75;25000;1;0;0;0;1;.057016;NA;.036664;5.356947;5.382634;5.440000;16;2
8.08;508;1;0;4;512;82;1;0;12;10000;10000;75;25000;1;0;0;0;1;.056702;NA;.035138;5.391831;5.428636;5.485000;16;2
8.39;507;1;0;4;512;182;1;0;12;10000;10000;0;25000;1;0;0;0;1;.001749;NA;.009633;.019826;.020063;.022500;19;193
8.42;507;1;0;4;512;182;1;0;12;10000;10000;0;25000;1;0;0;0;1;.004653;NA;.009281;.019611;.019680;.025000;19;171
8.65;508;1;0;4;512;182;1;0;12;10000;10000;0;25000;1;0;0;0;1;.001899;NA;.012997;.008480;.008673;.010000;19;485
