comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;input_size;preprocess;splitroles;verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
2.48;281;1;0;1;32;52;1;0;13;10000;10000;1000;0;0;16;;NA;.000937;.000933;.000932;0;4;80
2.37;284;1;0;1;32;52;1;0;13;10000;10000;1000;0;0;16;;NA;.001572;.001562;.001559;0;4;83
2.51;282;1;0;1;32;52;1;0;13;10000;10000;1000;0;0;16;;NA;.001114;.001110;.001109;0;4;83
2.52;281;1;0;1;32;52;1;0;13;10000;10000;1000;0;0;16;;NA;.001835;.001825;.001822;0;4;100
2.32;282;1;0;1;32;52;1;0;13;10000;10000;1000;0;0;16;;NA;.001505;.001495;.001492;0;4;100
2.49;280;1;0;1;32;52;1;0;13;10000;10000;1000;0;0;16;;NA;.001296;.001287;.001284;0;4;100
2.62;281;1;0;1;32;52;1;0;13;10000;10000;1000;0;0;16;;NA;.000958;.000953;.000951;0;4;100
2.52;281;1;0;1;32;52;1;0;13;10000;10000;1000;0;0;16;;NA;.000995;.000990;.000988;0;4;75
2.68;282;1;0;1;32;52;1;0;13;10000;10000;1000;0;0;16;;NA;.000949;.000945;.000943;0;4;100
2.49;282;1;0;1;32;52;1;0;13;10000;10000;1000;0;0;16;;NA;.001742;.001752;.001749;0;4;83
2.64;281;1;0;1;32;53;1;0;13;10000;10000;1000;0;0;16;;NA;.001636;.001625;.001622;0;4;100
2.39;281;1;0;1;32;53;1;0;13;10000;10000;1000;0;0;16;;NA;.000985;.000979;.000978;0;4;100
2.51;281;1;0;1;32;53;1;0;13;10000;10000;1000;0;0;16;;NA;.001843;.001833;.001830;0;4;100
2.55;282;1;0;1;32;53;1;0;13;10000;10000;1000;0;0;16;;NA;.001122;.001119;.001117;0;4;100
2.53;282;1;0;1;32;53;1;0;13;10000;10000;1000;0;0;16;;NA;.001291;.001282;.001278;0;4;100
2.37;281;1;0;1;32;53;1;0;13;10000;10000;1000;0;0;16;;NA;.000994;.000988;.000986;0;4;100
2.62;282;1;0;1;32;53;1;0;13;10000;10000;1000;0;0;16;;NA;.001125;.001122;.001120;0;3;100
2.55;281;1;0;1;32;53;1;0;13;10000;10000;1000;0;0;16;;NA;.001687;.001676;.001673;0;4;83
2.39;282;1;0;1;32;53;1;0;13;10000;10000;1000;0;0;16;;NA;.001936;.001926;.001923;0;4;100
2.34;281;1;0;1;32;53;1;0;13;10000;10000;1000;0;0;16;;NA;.001178;.001172;.001170;0;4;100
2.61;301;1;0;1;32;54;1;0;13;10000;10000;1000;0;0;16;;NA;.001074;.001068;.001066;0;4;100
2.92;301;1;0;1;32;54;1;0;13;10000;10000;1000;0;0;16;;NA;.001177;.001172;.001170;0;4;100
2.89;302;1;0;1;32;54;1;0;13;10000;10000;1000;0;0;16;;NA;.001545;.001555;.001551;0;4;100
2.92;300;1;0;1;32;54;1;0;13;10000;10000;1000;0;0;16;;NA;.001156;.001149;.001148;0;4;75
2.92;301;1;0;1;32;54;1;0;13;10000;10000;1000;0;0;16;;NA;.000963;.000959;.000957;0;4;100
2.88;300;1;0;1;32;54;1;0;13;10000;10000;1000;0;0;16;;NA;.001127;.001118;.001114;0;4;80
2.87;300;1;0;1;32;54;1;0;13;10000;10000;1000;0;0;16;;NA;.002154;.002144;.002140;0;4;100
2.88;302;1;0;1;32;54;1;0;13;10000;10000;1000;0;0;16;;NA;.002908;.002913;.002910;0;4;100
2.86;301;1;0;1;32;54;1;0;13;10000;10000;1000;0;0;16;;NA;.001881;.001871;.001868;0;4;100
2.69;302;1;0;1;32;54;1;0;13;10000;10000;1000;0;0;16;;NA;.001006;.001001;.000999;0;4;100
