program  c.domain  adv.model   protocol         partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  latencies(ms)  bandwidths(Mbs)  input_size  packetdrops(%)  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)  Preprocessing Time(s)
52       RING      semihonest  replicated-ring  3          0.72          37                 1                  0              25000            10000       0               1.6871               1.85                 131           716%       ~3260         163.612         490.837          1.19             NA
52       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              25000            10000       0               1.70882              1.86                 132           790%       ~3260         163.612         490.837          1.31             NA
52       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              25000            10000       0               1.67553              1.84                 130           752%       ~3260         163.612         490.837          1.18             NA
52       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              25000            10000       0               1.60249              1.74                 131           778%       ~3260         163.612         490.837          1.34             NA
52       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              25000            10000       0               1.66282              1.82                 129           718%       ~3260         163.612         490.837          1.10             NA
52       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              25000            10000       0               1.57327              1.69                 132           712%       ~3260         163.612         490.837          0.93             NA
52       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              25000            10000       0               1.63446              1.79                 128           739%       ~3260         163.612         490.837          1.04             NA
52       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              25000            10000       0               1.6276               1.77                 130           686%       ~3260         163.612         490.837          0.99             NA
52       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              25000            10000       0               1.62342              1.75                 128           712%       ~3260         163.612         490.837          0.92             NA
52       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25             25000            10000       0               8.79677              10.80                129           261%       ~3260         163.612         490.837          2.12             NA
52       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25             25000            10000       0               8.78949              10.78                124           263%       ~3260         163.612         490.837          1.95             NA
52       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25             25000            10000       0               8.79497              10.78                129           262%       ~3260         163.612         490.837          2.15             NA
52       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25             25000            10000       0               8.78857              10.77                126           262%       ~3260         163.612         490.837          2.03             NA
52       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25             25000            10000       0               8.79094              10.80                129           263%       ~3260         163.612         490.837          2.05             NA
52       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25             25000            10000       0               8.7732               10.77                133           264%       ~3260         163.612         490.837          2.10             NA
52       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25             25000            10000       0               8.78148              10.78                130           264%       ~3260         163.612         490.837          2.27             NA
52       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25             25000            10000       0               8.75729              10.75                129           263%       ~3260         163.612         490.837          2.13             NA
52       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25             25000            10000       0               8.82261              10.81                129           261%       ~3260         163.612         490.837          2.08             NA
52       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25             25000            10000       0               8.83391              10.82                131           261%       ~3260         163.612         490.837          2.25             NA
52       RING      semihonest  replicated-ring  3          NA            NA                 NA                 50             25000            10000       0               14.4134              18.21                129           163%       ~3260         163.612         490.837          2.22             NA
52       RING      semihonest  replicated-ring  3          NA            NA                 NA                 50             25000            10000       0               14.3787              18.17                124           162%       ~3260         163.612         490.837          2.26             NA
52       RING      semihonest  replicated-ring  3          NA            NA                 NA                 50             25000            10000       0               14.4143              18.20                129           161%       ~3260         163.612         490.837          2.10             NA
52       RING      semihonest  replicated-ring  3          NA            NA                 NA                 50             25000            10000       0               14.514               18.32                131           162%       ~3260         163.612         490.837          2.10             NA
52       RING      semihonest  replicated-ring  3          NA            NA                 NA                 50             25000            10000       0               14.3978              18.20                127           163%       ~3260         163.612         490.837          2.20             NA
52       RING      semihonest  replicated-ring  3          NA            NA                 NA                 50             25000            10000       0               14.428               18.22                131           162%       ~3260         163.612         490.837          2.02             NA
52       RING      semihonest  replicated-ring  3          NA            NA                 NA                 50             25000            10000       0               14.4046              18.19                124           163%       ~3260         163.612         490.837          2.04             NA
52       RING      semihonest  replicated-ring  3          NA            NA                 NA                 50             25000            10000       0               14.4404              18.24                125           162%       ~3260         163.612         490.837          2.17             NA
52       RING      semihonest  replicated-ring  3          NA            NA                 NA                 50             25000            10000       0               14.3842              18.19                131           162%       ~3260         163.612         490.837          2.10             NA
