comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;input_size;preprocess;splitroles;verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
2.94;300;1;0;1;256;58;1;0;13;10000;10000;1;0;0;16;;NA;.000076;.000072;.000071;0;3;100
2.92;300;1;0;1;256;58;1;0;13;10000;10000;1;0;0;16;;NA;.000084;.000079;.000077;0;3;80
2.97;300;1;0;1;256;58;1;0;13;10000;10000;1;0;0;16;;NA;.000077;.000073;.000071;0;3;100
2.98;300;1;0;1;256;58;1;0;13;10000;10000;1;0;0;16;;NA;.000203;.000193;.000190;0;3;100
2.80;299;1;0;1;256;58;1;0;13;10000;10000;1;0;0;16;;NA;.000081;.000076;.000075;0;3;100
2.80;300;1;0;1;256;58;1;0;13;10000;10000;1;0;0;16;;NA;.000082;.000077;.000075;0;3;100
3.13;301;1;0;1;256;58;1;0;13;10000;10000;1;0;0;16;;NA;.000203;.000193;.000190;0;3;100
2.91;301;1;0;1;256;58;1;0;13;10000;10000;1;0;0;16;;NA;.000075;.000071;.000069;0;3;50
2.81;300;1;0;1;256;58;1;0;13;10000;10000;1;0;0;16;;NA;.000186;.000177;.000173;0;3;75
2.82;300;1;0;1;256;58;1;0;13;10000;10000;1;0;0;16;;NA;.000084;.000079;.000077;0;3;100
