program  protocol     partysize  latencies(ms)  bandwidths(Mbs)  input_size  packetdrops(%)  runtime_internal(ms)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  ALLdataSent(MB)  AllDataRec(MB)  ALLmessagesSent  AllMessagesRec  multTripPresetup  multTripSetup  sharedPowerPresetup  sharedPowerSetup  sharedBitPresetup  sharedBitSetup  baseOT  otExtension  kk13OtExtension  preprocessingTime  gatesSetup  gatesOnline
auction  boolean_gmw  3          0              1000             50          0               275406.168            343.35               69358         1050       1071.333         1236.372        9542229          9542229         80.830            5475.862       811.760              811.760           6837.414           6837.414        0.000   Setup        Extension        10490.397          210768.894  54138.736
auction  boolean_gmw  3          0              1000             50          0               296128.287            362.86               69716         1001       1071.333         1236.372        9542229          9542229         89.960            5409.128       824.896              824.896           6812.882           6812.882        0.000   Setup        Extension        10469.312          232057.282  53588.787
auction  boolean_gmw  3          0              1000             50          0               275251.491            344.68               70648         1089       1071.333         1236.372        9542229          9542229         103.122           5501.720       686.589              686.589           6913.239           6913.239        0.000   Setup        Extension        10590.830          208676.680  55970.756
auction  boolean_gmw  3          0              100              50          0               336489.084            406.36               70952         919        1071.333         1236.372        9542229          9542229         80.427            36189.028      839.400              839.400           49013.688          49013.688       0.000   Setup        Extension        63615.820          219506.160  53355.452
auction  boolean_gmw  3          0              100              50          0               339093.709            408.66               70346         862        1071.333         1236.372        9542229          9542229         82.005            32426.253      678.050              678.050           45650.272          45650.272       0.000   Setup        Extension        62768.460          222965.821  53348.420
auction  boolean_gmw  3          0              100              50          0               337781.464            407.43               70045         926        1071.333         1236.372        9542229          9542229         82.519            30953.665      672.300              672.300           44363.835          44363.835       0.000   Setup        Extension        57205.891          224511.136  56052.469
auction  boolean_gmw  3          0              100              50          0               347751.892            415.90               69971         902        1071.333         1236.372        9542229          9542229         105.223           29808.055      808.219              808.219           43132.024          43132.024       0.000   Setup        Extension        56815.537          236250.304  54674.687
auction  boolean_gmw  3          0              100              50          0               336208.988            406.38               70811         912        1071.333         1236.372        9542229          9542229         98.602            37146.003      762.025              762.025           50184.522          50184.522       0.000   Setup        Extension        61353.236          220019.208  54824.197
auction  boolean_gmw  3          0              100              50          0               335527.754            405.51               70146         853        1071.333         1236.372        9542229          9542229         81.885            36669.026      811.054              811.054           49896.057          49896.057       0.000   Setup        Extension        63495.837          221432.406  50588.515
auction  boolean_gmw  3          0              100              50          0               338041.732            408.30               71784         900        1071.333         1236.372        9542229          9542229         81.354            36583.417      838.340              838.340           50038.113          50038.113       0.000   Setup        Extension        61665.518          224142.366  52224.857
auction  boolean_gmw  3          0              100              50          0               320140.841            386.84               72690         953        1071.333         1236.372        9542229          9542229         85.994            32429.351      827.672              827.672           45660.932          45660.932       0.000   Setup        Extension        58991.085          207023.788  54115.668
auction  boolean_gmw  3          0              100              50          0               339771.870            409.09               70059         906        1071.333         1236.372        9542229          9542229         83.726            39676.063      761.572              761.572           52729.119          52729.119       0.000   Setup        Extension        63896.389          219829.474  56033.887
auction  boolean_gmw  3          0              100              50          0               332949.346            403.16               70487         866        1071.333         1236.372        9542229          9542229         105.042           31264.331      806.527              806.527           44550.944          44550.944       0.000   Setup        Extension        56794.149          222764.979  53376.668
