comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  input_size  preprocess  splitroles  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.02          3                  1                  0    6        512       58        1         0         5         10000     10000     2           0           1           1             .000340      NA          .001324           .002423             .003828            .004166              4             1157
0.02          3                  1                  0    6        512       58        1         0         5         10000     10000     2           0           1           1             .000183      NA          .001297           .002447             .003393            .003611              4             1290
0.02          3                  1                  0    6        512       58        1         0         5         10000     10000     2           0           1           1             .000192      NA          .001307           .002406             .003694            .003888              5             1214
0.02          3                  1                  0    6        512       58        1         0         5         10000     10000     2           0           1           1             .000324      NA          .001356           .002388             .005288            .005555              4             908
0.02          3                  1                  0    6        512       58        1         0         5         10000     10000     2           0           1           1             .000180      NA          .001319           .002339             .003039            .003333              4             1447
