program;protocol;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(ms);runtime_external(s);peakRAM(MiB);jobCPU(%);ALLdataSent(MB);AllDataRec(MB);ALLmessagesSent;AllMessagesRec;multTripPresetup;multTripSetup;sharedPowerPresetup;sharedPowerSetup;sharedBitPresetup;sharedBitSetup;baseOT;otExtension;kk13OtExtension;preprocessingTime;gatesSetup;gatesOnline
psi;boolean_gmw;4;0;100;100;0;46635.924;55.90;10936;569;41.049;44.223;658596;658596;38.763;244.610;16.200;16.200;524.356;524.356;0.000;Setup;Extension;1770.659;105.159;44741.402
psi;boolean_gmw;4;0;100;100;0;51008.314;60.42;10915;479;41.049;44.223;658596;658596;69.579;888.175;18.830;18.830;1165.929;1165.929;0.000;Setup;Extension;1878.158;134.755;48972.455
psi;boolean_gmw;4;0;100;100;0;45691.207;55.05;10933;537;41.049;44.223;658596;658596;53.710;252.529;16.909;16.909;537.350;537.350;0.000;Setup;Extension;1895.370;143.006;43640.160
psi;boolean_gmw;4;0;100;100;0;46761.519;56.12;10928;505;41.049;44.223;658596;658596;71.377;183.828;18.738;18.738;463.302;463.302;0.000;Setup;Extension;1798.414;126.461;44818.937
psi;boolean_gmw;4;0;100;100;0;50149.407;59.47;10941;506;41.049;44.223;658596;658596;54.586;375.795;18.746;18.746;655.295;655.295;0.000;Setup;Extension;1620.362;115.918;48381.629
psi;boolean_gmw;4;0;100;100;0;49097.628;58.46;10926;552;41.049;44.223;658596;658596;64.159;149.198;18.393;18.393;435.813;435.813;0.000;Setup;Extension;1851.525;111.338;47105.231
psi;boolean_gmw;4;0;100;100;0;47473.220;53.36;10967;545;41.049;44.223;658596;658596;39.795;213.635;16.356;16.356;486.933;486.933;0.000;Setup;Extension;1789.377;131.214;45543.619
psi;boolean_gmw;4;0;100;100;0;44123.289;53.54;10928;599;41.049;44.223;658596;658596;46.797;241.400;17.965;17.965;513.267;513.267;0.000;Setup;Extension;1747.261;110.461;42249.435
psi;boolean_gmw;4;0;100;100;0;45958.080;55.37;10915;532;41.049;44.223;658596;658596;64.823;133.240;19.311;19.311;396.909;396.909;0.000;Setup;Extension;1785.922;117.225;44006.931
psi;boolean_gmw;4;0;100;100;0;47366.569;56.72;10944;534;41.049;44.223;658596;658596;40.341;442.843;17.294;17.294;723.117;723.117;0.000;Setup;Extension;1749.726;139.732;45465.505
